County,Year,Murder,Rape,Assault,Burglary,Larceny,Auto_Theft,Total_Crime,Population,Violent_Offenses,NonViolent_Offenses
Anderson County,2015,9,38,195,319,749,75,1407,57560,242,1143
Anderson County,2016,2,44,237,259,485,94,1145,57250,283,838
Anderson County,2017,2,25,153,278,536,64,1078,57569,180,878
Anderson County,2018,1,8,96,198,531,62,907,57491,105,791
Anderson County,2019,2,23,100,249,514,82,984,57657,125,845
Anderson County,2020,4,15,109,208,456,70,869,57474,128,734
Andrews County,2015,0,18,64,60,313,51,518,18248,82,424
Andrews County,2016,1,21,61,78,286,36,485,18785,83,400
Andrews County,2017,0,8,54,57,185,25,330,18285,62,267
Andrews County,2018,0,10,61,60,187,33,352,18130,71,280
Andrews County,2019,0,14,68,69,190,23,367,18473,82,282
Andrews County,2020,2,13,51,46,330,32,476,19130,66,408
Angelina County,2015,4,24,172,594,1741,103,2688,88151,200,2438
Angelina County,2016,1,32,181,532,1523,140,2445,88262,214,2195
Angelina County,2017,6,25,180,475,1663,161,2548,87845,211,2299
Angelina County,2018,1,45,187,474,1420,150,2297,87687,233,2044
Angelina County,2019,2,56,199,505,1590,183,2575,86568,257,2278
Angelina County,2020,4,55,292,1122,1483,200,3211,86399,351,2805
Aransas County,2015,2,21,138,415,938,51,1572,33232,161,1404
Aransas County,2016,3,23,146,417,939,55,1599,33526,172,1411
Aransas County,2017,1,19,116,353,779,62,1336,33764,136,1194
Aransas County,2018,2,23,114,324,771,73,1315,33339,139,1168
Aransas County,2019,0,25,110,282,728,65,1222,31112,135,1075
Aransas County,2020,4,19,110,297,671,60,1169,31073,133,1028
Archer County,2015,0,0,7,11,37,7,62,5281,7,55
Archer County,2016,0,1,9,9,28,6,54,5182,10,43
Archer County,2017,0,0,10,3,14,2,29,5207,10,19
Archer County,2018,0,3,1,5,6,1,16,1742,4,12
Archer County,2019,0,3,3,2,0,0,8,1732,6,2
Archer County,2020,0,0,1,4,10,2,17,1687,1,16
Armstrong County,2015,0,0,1,11,11,2,25,1973,1,24
Armstrong County,2016,0,0,3,4,5,1,13,1951,3,10
Armstrong County,2017,0,0,4,9,10,5,29,1870,4,24
Armstrong County,2018,0,4,3,6,9,2,24,1871,7,17
Armstrong County,2019,0,0,1,10,5,3,19,1879,1,18
Armstrong County,2020,0,0,0,0,3,1,4,1880,0,4
Atascosa County,2015,6,7,101,333,1052,111,1615,49177,114,1496
Atascosa County,2016,3,8,81,319,915,92,1435,49596,92,1326
Atascosa County,2017,0,19,111,257,694,104,1201,50006,130,1055
Atascosa County,2018,4,15,99,235,774,112,1248,50059,118,1121
Atascosa County,2019,2,9,68,221,675,125,1112,51329,79,1021
Atascosa County,2020,5,5,82,187,652,114,1056,52332,92,953
Austin County,2015,0,8,53,121,283,13,482,29354,61,417
Austin County,2016,0,6,43,136,239,31,466,29718,49,406
Austin County,2017,0,11,34,98,183,45,376,29963,45,326
Austin County,2018,0,11,32,82,138,29,295,29912,43,249
Austin County,2019,0,5,38,80,147,29,302,30009,43,256
Austin County,2020,3,6,33,72,133,31,281,30121,42,236
Bailey County,2015,0,4,14,46,104,14,184,6865,18,164
Bailey County,2016,0,0,11,28,85,5,129,7202,11,118
Bailey County,2017,0,0,7,31,53,6,98,7179,7,90
Bailey County,2018,1,1,14,15,53,5,89,7047,16,73
Bailey County,2019,0,1,6,20,35,2,64,6968,7,57
Bailey County,2020,0,2,1,8,23,9,43,6960,3,40
Bandera County,2015,0,8,13,102,194,16,333,21024,21,312
Bandera County,2016,0,11,26,75,146,25,284,21352,37,246
Bandera County,2017,0,16,14,117,136,26,310,21966,30,279
Bandera County,2018,1,24,7,108,134,42,318,22557,32,284
Bandera County,2019,0,2,16,95,143,27,284,22980,18,265
Bandera County,2020,0,4,13,61,122,20,220,23336,17,203
Bastrop County,2015,4,50,185,387,1081,111,1851,80182,239,1579
Bastrop County,2016,9,58,256,360,1211,149,2095,82589,323,1720
Bastrop County,2017,2,37,178,319,951,106,1632,85153,217,1376
Bastrop County,2018,5,55,147,317,834,102,1488,87175,207,1253
Bastrop County,2019,6,57,179,271,794,137,1474,89191,242,1202
Bastrop County,2020,1,38,199,182,685,135,1273,91221,238,1002
Baylor County,2015,0,2,7,35,53,5,102,3570,9,93
Baylor County,2016,0,1,7,19,39,2,68,3588,8,60
Baylor County,2017,0,0,12,10,17,4,44,3690,12,31
Baylor County,2018,0,2,5,5,28,2,42,3554,7,35
Baylor County,2019,0,1,4,6,18,4,33,3545,5,28
Baylor County,2020,0,2,7,4,15,9,37,3476,9,28
Bee County,2015,3,0,61,132,435,8,644,33180,64,575
Bee County,2016,2,5,94,124,337,9,576,32978,101,470
Bee County,2017,1,2,69,165,342,26,608,32862,72,533
Bee County,2018,2,6,55,136,389,19,615,32573,63,544
Bee County,2019,2,4,40,164,338,20,573,32474,46,522
Bee County,2020,0,2,64,151,391,28,642,32534,66,570
Bell County,2015,23,264,720,2192,6709,469,10627,332946,1007,9370
Bell County,2016,27,232,834,2104,6062,653,10277,337383,1093,8819
Bell County,2017,30,285,830,2065,5802,933,10362,343716,1145,8800
Bell County,2018,25,261,511,1553,5357,543,8494,351009,797,7453
Bell County,2019,19,239,570,1383,4954,618,7976,357960,828,6955
Bell County,2020,43,215,1067,1248,4735,953,8471,366533,1325,6936
Bexar County,2015,112,1214,6009,13694,64295,6861,94344,1897498,7335,84850
Bexar County,2016,173,1376,7758,14350,67718,8145,101965,1932033,9307,90213
Bexar County,2017,143,1478,7745,13667,63406,7777,96772,1966517,9366,84850
Bexar County,2018,121,1575,7156,10659,53394,6857,81697,1992664,8852,70910
Bexar County,2019,122,1821,8138,9706,58699,8624,89232,2010637,10081,77029
Bexar County,2020,154,1444,9018,9701,48931,8049,79617,2034193,10616,66681
Blanco County,2015,0,1,8,35,56,13,113,10913,9,104
Blanco County,2016,1,5,10,20,46,9,92,11074,16,75
Blanco County,2017,0,2,12,40,52,12,119,11535,14,104
Blanco County,2018,0,1,13,14,33,3,64,11763,14,50
Blanco County,2019,0,6,12,23,25,12,79,11786,18,60
Blanco County,2020,1,1,27,30,45,7,112,12061,29,82
Borden County,2015,0,0,2,3,3,2,10,656,2,8
Borden County,2016,0,0,4,3,3,1,11,647,4,7
Borden County,2017,0,0,2,2,14,2,20,631,2,18
Borden County,2018,0,0,0,4,10,1,15,675,0,15
Borden County,2019,0,1,0,5,4,1,11,645,1,10
Borden County,2020,0,1,0,6,5,1,13,653,1,12
Bosque County,2015,0,0,9,38,65,2,114,17714,9,105
Bosque County,2016,0,0,6,71,72,2,152,15194,6,145
Bosque County,2017,0,0,8,41,72,5,126,15404,8,118
Bosque County,2018,0,0,4,26,45,5,80,15631,4,76
Bosque County,2019,0,3,24,45,42,11,125,17136,27,98
Bosque County,2020,1,0,8,41,53,6,109,18682,9,100
Bowie County,2015,4,44,347,579,2118,201,3354,93635,395,2898
Bowie County,2016,5,51,336,581,1974,195,3193,93256,392,2750
Bowie County,2017,6,67,456,547,2018,202,3399,93960,529,2767
Bowie County,2018,5,50,202,526,1944,212,2993,93946,257,2682
Bowie County,2019,4,66,294,501,1810,130,2853,93943,364,2441
Bowie County,2020,3,70,266,373,1146,193,2093,92995,339,1712
Brazoria County,2015,4,114,352,1149,4475,359,6555,350739,470,5983
Brazoria County,2016,8,110,395,996,4443,404,6511,358003,513,5843
Brazoria County,2017,10,113,437,947,4111,370,6079,367132,560,5428
Brazoria County,2018,4,131,377,800,4241,390,6050,373587,512,5431
Brazoria County,2019,10,123,400,1002,4759,472,6899,381928,533,6233
Brazoria County,2020,13,118,456,708,4302,505,6210,386756,587,5515
Brazos County,2015,9,131,447,969,4628,244,6533,213128,587,5841
Brazos County,2016,5,129,474,972,4354,288,6373,218486,608,5614
Brazos County,2017,6,124,399,752,4011,267,5679,224600,529,5030
Brazos County,2018,4,150,395,784,4087,330,5833,226375,549,5201
Brazos County,2019,5,177,373,841,3501,355,5359,229532,555,4697
Brazos County,2020,9,184,468,675,3494,402,5312,232487,661,4571
Brewster County,2015,1,2,8,35,88,7,141,9168,11,130
Brewster County,2016,1,5,8,39,76,2,131,9093,14,117
Brewster County,2017,1,3,19,44,49,10,126,9179,23,103
Brewster County,2018,1,4,19,44,37,1,107,9323,24,82
Brewster County,2019,1,2,16,31,15,6,71,9210,19,52
Brewster County,2020,0,2,8,38,21,9,78,9166,10,68
Briscoe County,2015,0,1,1,2,6,1,11,1518,2,9
Briscoe County,2016,0,0,0,5,7,1,13,1477,0,13
Briscoe County,2017,0,1,0,4,2,2,9,1448,1,8
Briscoe County,2018,0,0,1,1,6,0,8,1510,1,7
Briscoe County,2019,0,0,0,2,1,1,4,1493,0,4
Briscoe County,2020,0,0,1,0,3,3,7,1532,1,6
Brooks County,2015,1,0,12,46,82,0,141,7206,13,128
Brooks County,2016,0,1,14,56,95,0,166,7215,15,151
Brooks County,2017,0,0,15,70,116,0,203,7208,15,186
Brooks County,2018,0,0,12,79,64,0,155,7219,12,143
Brooks County,2019,0,0,15,48,62,1,127,7057,15,111
Brooks County,2020,0,0,32,47,59,2,140,7056,32,108
Brown County,2015,1,27,92,222,711,26,1097,37625,120,959
Brown County,2016,3,16,102,173,620,42,959,37740,121,835
Brown County,2017,1,25,87,161,701,34,1020,38257,113,896
Brown County,2018,1,33,110,164,552,40,904,37943,144,756
Brown County,2019,0,33,88,191,649,59,1027,37667,121,899
Brown County,2020,0,37,94,211,613,64,1032,37712,131,888
Burleson County,2015,1,13,22,62,122,13,234,17302,36,197
Burleson County,2016,0,9,20,65,83,8,189,16074,29,156
Burleson County,2017,0,2,28,46,107,9,198,16404,30,162
Burleson County,2018,0,6,27,60,109,11,215,18074,33,180
Burleson County,2019,1,7,16,44,97,4,172,18422,24,145
Burleson County,2020,0,6,31,57,120,15,229,18520,37,192
Burnet County,2015,1,23,76,159,467,27,757,47160,100,653
Burnet County,2016,0,28,82,191,526,57,887,47500,110,774
Burnet County,2017,1,38,73,168,412,48,746,47121,112,628
Burnet County,2018,0,29,74,132,400,51,689,49180,103,583
Burnet County,2019,0,30,85,164,399,57,743,49857,115,620
Burnet County,2020,3,27,85,112,330,57,619,50632,115,499
Caldwell County,2015,0,7,77,196,435,48,768,39860,84,679
Caldwell County,2016,2,11,69,161,379,31,667,40424,82,571
Caldwell County,2017,2,9,74,103,415,50,666,41211,85,568
Caldwell County,2018,1,6,65,102,257,28,469,42396,72,387
Caldwell County,2019,0,13,61,67,260,23,427,41896,74,350
Caldwell County,2020,1,17,59,68,234,41,427,43708,77,343
Calhoun County,2015,5,11,90,151,227,24,511,19772,106,402
Calhoun County,2016,1,19,101,199,361,26,712,19728,121,586
Calhoun County,2017,1,20,85,104,205,33,451,19804,106,342
Calhoun County,2018,1,14,64,94,153,27,357,19525,79,274
Calhoun County,2019,0,16,57,80,175,14,345,19260,73,269
Calhoun County,2020,1,13,33,57,119,25,250,19036,47,201
Callahan County,2015,2,1,13,69,89,15,192,13541,16,173
Callahan County,2016,0,1,7,45,94,17,165,13525,8,156
Callahan County,2017,0,4,17,48,71,13,154,13856,21,132
Callahan County,2018,0,1,7,68,61,14,152,13971,8,143
Callahan County,2019,0,1,8,58,55,14,136,13968,9,127
Callahan County,2020,0,0,19,38,56,18,131,13944,19,112
Cameron County,2015,7,188,816,2409,10986,309,14976,424559,1011,13704
Cameron County,2016,8,201,1174,2116,9655,331,13709,423223,1383,12102
Cameron County,2017,8,226,897,1790,8987,351,12451,424158,1131,11128
Cameron County,2018,5,176,917,1699,8855,348,12218,424884,1098,10902
Cameron County,2019,4,239,1119,1681,8695,359,12335,423309,1362,10735
Cameron County,2020,13,181,1077,1162,6615,389,9683,423478,1271,8166
Camp County,2015,3,4,32,96,156,39,333,12704,39,291
Camp County,2016,1,3,23,55,154,17,257,12699,27,226
Camp County,2017,2,3,14,79,152,18,272,12930,19,249
Camp County,2018,0,4,21,55,100,20,200,12886,25,175
Camp County,2019,0,6,22,38,82,12,161,13033,28,132
Camp County,2020,0,7,37,34,71,18,170,13129,44,123
Carson County,2015,0,0,25,19,29,5,78,5990,25,53
Carson County,2016,0,0,29,13,36,4,82,5914,29,53
Carson County,2017,0,2,17,10,24,2,55,6034,19,36
Carson County,2018,1,2,19,18,26,7,73,5998,22,51
Carson County,2019,1,2,23,21,23,6,79,5948,26,50
Carson County,2020,0,0,14,10,14,5,43,5881,14,29
Cass County,2015,1,22,64,261,392,33,781,29894,87,686
Cass County,2016,1,18,86,232,357,46,747,29809,105,635
Cass County,2017,0,8,55,197,288,34,590,29942,63,519
Cass County,2018,0,12,74,151,258,42,543,29476,86,451
Cass County,2019,1,19,70,110,281,27,514,29496,90,418
Cass County,2020,1,7,36,133,220,47,446,29491,44,400
Castro County,2015,0,0,4,63,109,12,190,7719,4,184
Castro County,2016,0,0,6,59,100,5,171,7547,6,164
Castro County,2017,0,0,5,46,80,13,144,7591,5,139
Castro County,2018,1,3,11,25,51,12,103,7783,15,88
Castro County,2019,0,4,25,24,39,10,102,7562,29,73
Castro County,2020,0,0,4,10,26,8,48,7442,4,44
Chambers County,2015,3,12,95,144,591,112,971,34701,110,847
Chambers County,2016,3,19,109,149,621,76,995,35244,131,846
Chambers County,2017,0,26,63,147,551,17,820,36489,89,715
Chambers County,2018,3,6,44,126,513,85,787,37983,53,724
Chambers County,2019,1,13,67,145,529,105,869,38973,81,779
Chambers County,2020,4,16,106,117,509,98,858,40518,126,724
Cherokee County,2015,3,35,139,282,673,74,1223,50770,177,1029
Cherokee County,2016,3,27,139,319,664,64,1235,51260,169,1047
Cherokee County,2017,1,25,166,260,606,73,1144,51619,192,939
Cherokee County,2018,2,22,143,276,545,73,1071,52155,167,894
Cherokee County,2019,3,11,95,241,460,88,904,52337,109,789
Cherokee County,2020,1,15,89,217,460,96,881,52381,105,773
Childress County,2015,0,0,2,4,4,3,13,1026,2,11
Childress County,2016,0,0,0,6,3,1,10,976,0,10
Childress County,2017,0,0,3,4,8,0,15,952,3,12
Childress County,2018,0,0,0,6,3,1,10,979,0,10
Childress County,2019,0,1,4,14,25,4,48,7273,5,43
Childress County,2020,0,2,7,11,23,7,50,7308,9,41
Clay County,2015,0,3,13,40,76,20,152,10303,16,136
Clay County,2016,3,3,8,24,63,13,114,10256,14,100
Clay County,2017,0,5,9,43,75,19,153,10095,14,137
Clay County,2018,0,9,11,65,40,19,149,10348,20,124
Clay County,2019,0,8,8,33,49,21,119,10356,16,103
Clay County,2020,0,3,9,34,49,9,105,10406,12,92
Cochran County,2015,0,0,5,39,59,5,109,2892,5,103
Cochran County,2016,0,4,3,20,50,6,83,2909,7,76
Cochran County,2017,0,0,5,0,1,2,8,2839,5,3
Cochran County,2018,0,0,0,2,0,0,2,2803,0,2
Cochran County,2019,0,0,3,12,15,0,30,2782,3,27
Cochran County,2020,0,0,3,14,22,9,48,2812,3,45
Coke County,2015,0,0,1,8,2,5,16,3244,1,15
Coke County,2016,0,0,1,14,12,3,30,3212,1,29
Coke County,2017,0,0,1,0,1,1,3,3252,1,2
Coke County,2018,1,0,0,1,0,0,2,3295,1,1
Coke County,2019,0,0,2,10,0,4,16,3356,2,14
Coke County,2020,0,0,3,9,7,2,21,3383,3,18
Coleman County,2015,0,0,5,54,44,5,109,5419,5,103
Coleman County,2016,0,4,8,48,25,4,89,5356,12,77
Coleman County,2017,0,0,22,24,20,1,68,5425,22,45
Coleman County,2018,0,5,14,32,7,3,62,5403,19,42
Coleman County,2019,1,6,20,22,15,2,66,5373,27,39
Coleman County,2020,0,2,18,8,7,5,42,5228,20,20
Collin County,2015,10,272,655,1936,10258,623,13987,886551,937,12817
Collin County,2016,14,224,596,1967,10395,735,14163,915044,834,13097
Collin County,2017,29,272,655,1854,10566,725,14366,945773,956,13145
Collin County,2018,11,320,677,1567,10236,849,13921,980246,1008,12652
Collin County,2019,7,294,635,1457,9728,881,13246,1016192,936,12066
Collin County,2020,9,333,715,1394,9340,939,12953,1055292,1057,11673
Collingsworth County,2015,0,0,8,10,7,0,25,3016,8,17
Collingsworth County,2016,0,0,9,6,5,1,21,3033,9,12
Collingsworth County,2018,0,0,0,0,0,0,0,2970,0,0
Collingsworth County,2020,0,0,0,0,0,0,0,2896,0,0
Colorado County,2015,0,5,38,73,185,24,329,20725,43,282
Colorado County,2016,0,7,38,63,134,29,279,20806,45,226
Colorado County,2017,0,4,56,64,110,31,266,21020,60,205
Colorado County,2018,0,5,17,38,135,28,225,21225,22,201
Colorado County,2019,1,11,25,55,156,20,271,21127,37,231
Colorado County,2020,3,1,22,96,156,39,326,21489,26,291
Comal County,2015,4,64,249,539,2145,221,3259,138415,317,2905
Comal County,2016,2,74,256,470,1909,239,2984,144356,332,2618
Comal County,2017,5,82,229,445,1533,197,2527,151132,316,2175
Comal County,2018,4,88,272,395,1330,130,2245,158668,364,1855
Comal County,2019,2,61,264,407,1281,172,2221,166905,327,1860
Comal County,2020,8,47,282,386,1320,236,2313,176360,337,1942
Comanche County,2015,1,0,32,74,184,5,296,13488,33,263
Comanche County,2016,0,7,15,93,180,7,306,13286,22,280
Comanche County,2017,0,7,28,49,153,4,243,13394,35,206
Comanche County,2018,1,1,22,56,115,10,206,13482,24,181
Comanche County,2019,2,2,13,43,143,15,219,13398,17,201
Comanche County,2020,4,4,13,45,134,12,213,13554,21,191
Concho County,2015,0,0,1,1,0,0,2,4048,1,1
Concho County,2016,0,0,1,8,4,2,15,4066,1,14
Concho County,2017,0,0,7,7,3,4,21,4306,7,14
Concho County,2018,0,0,11,2,7,0,20,2585,11,9
Concho County,2019,0,0,11,8,0,0,19,4272,11,8
Concho County,2020,0,0,1,2,5,1,9,2617,1,8
Cooke County,2015,1,10,57,170,503,41,795,38165,68,714
Cooke County,2016,0,30,92,161,499,52,844,38499,122,712
Cooke County,2017,0,21,99,176,465,38,812,38581,120,679
Cooke County,2018,0,24,73,124,329,26,589,39195,97,479
Cooke County,2019,3,20,89,97,352,23,592,39747,112,472
Cooke County,2020,4,25,67,131,476,70,785,40582,96,677
Coryell County,2015,1,19,113,243,986,36,1417,76351,133,1265
Coryell County,2016,2,22,150,245,913,51,1424,75889,174,1209
Coryell County,2017,2,15,231,245,864,50,1430,75104,248,1159
Coryell County,2018,0,18,147,198,690,36,1101,75270,165,924
Coryell County,2019,0,30,127,185,737,27,1113,74917,157,949
Coryell County,2020,5,8,161,182,706,69,1146,76414,174,957
Cottle County,2015,0,0,5,1,2,0,8,1398,5,3
Cottle County,2016,0,0,1,4,5,1,11,1407,1,10
Cottle County,2017,0,0,3,1,1,0,5,1384,3,2
Cottle County,2018,1,0,1,2,0,1,5,1076,2,3
Crane County,2015,2,0,5,5,17,3,32,5117,7,25
Crane County,2016,0,1,3,10,22,2,38,5179,4,34
Crane County,2017,0,0,3,1,22,3,29,4906,3,26
Crane County,2018,0,1,0,5,10,2,18,4782,1,17
Crane County,2019,0,3,4,7,7,6,27,4820,7,20
Crane County,2020,0,2,3,5,15,5,30,4830,5,25
Crockett County,2015,0,1,10,24,24,3,63,3847,11,51
Crockett County,2016,0,0,3,14,20,3,40,3699,3,37
Crockett County,2017,0,0,5,16,16,1,38,3666,5,33
Crockett County,2018,0,0,2,106,11,0,120,3535,2,117
Crockett County,2019,0,0,1,9,5,4,20,3453,1,18
Crockett County,2020,1,0,2,7,2,2,14,3427,3,11
Crosby County,2015,0,0,1,19,7,1,28,4728,1,27
Crosby County,2016,0,0,3,14,12,1,30,4769,3,27
Crosby County,2017,0,0,1,6,2,0,9,4788,1,8
Crosby County,2018,0,2,9,23,17,8,61,5864,11,48
Crosby County,2019,0,1,3,29,13,4,51,4553,4,46
Crosby County,2020,0,0,5,15,19,5,44,4549,5,39
Culberson County,2015,0,0,0,0,0,0,0,2239,0,0
Culberson County,2016,0,0,0,0,0,0,0,2198,0,0
Culberson County,2017,0,0,0,0,0,0,0,2164,0,0
Culberson County,2018,0,0,0,0,0,0,0,2201,0,0
Culberson County,2019,0,0,0,0,0,0,0,2166,0,0
Culberson County,2020,0,0,0,0,0,0,0,2140,0,0
Dallam County,2015,0,7,40,41,183,7,279,10024,47,231
Dallam County,2016,0,7,63,96,198,20,385,10013,70,314
Dallam County,2017,0,11,60,113,148,18,355,9911,71,279
Dallam County,2018,1,7,15,60,109,15,207,9970,23,184
Dallam County,2019,0,5,28,54,104,19,210,9878,33,177
Dallam County,2020,1,4,20,43,103,15,187,9926,25,161
Dallas County,2015,188,1265,5783,18507,56125,11954,99436,2829734,7236,86586
Dallas County,2016,217,1362,6465,18476,57124,12110,102028,2857909,8044,87710
Dallas County,2017,205,1499,7019,16162,54624,12510,97994,2887503,8723,83296
Dallas County,2018,211,1324,7339,14452,54000,14503,97146,2931219,8874,82955
Dallas County,2019,248,1259,8445,13530,53919,15986,99302,2943177,9952,83435
Dallas County,2020,303,1186,10351,14236,52863,16343,99886,2947321,11840,83442
Dawson County,2015,1,9,33,124,292,29,493,13166,43,445
Dawson County,2016,1,10,48,106,287,23,478,13302,59,416
Dawson County,2017,0,5,14,35,88,9,151,12863,19,132
Dawson County,2018,1,10,32,117,287,21,472,12523,43,425
Dawson County,2019,2,7,55,136,296,30,538,12284,64,462
Dawson County,2020,0,13,46,116,276,37,490,12451,59,429
DeWitt County,2015,0,15,74,199,295,10,595,18658,89,504
DeWitt County,2016,1,10,91,113,220,10,448,18669,102,343
DeWitt County,2017,0,24,108,123,204,21,481,18770,132,348
DeWitt County,2018,2,8,85,158,239,14,507,16006,95,411
DeWitt County,2019,1,13,58,74,215,16,377,15907,72,305
DeWitt County,2020,0,11,56,73,174,30,346,15941,67,277
Deaf Smith County,2015,0,8,35,98,297,33,479,19176,43,428
Deaf Smith County,2016,0,2,51,124,299,28,511,18799,53,451
Deaf Smith County,2017,0,7,52,79,300,32,475,18710,59,411
Deaf Smith County,2018,0,7,81,97,276,29,505,18696,88,402
Deaf Smith County,2019,0,2,82,85,249,36,459,18557,84,370
Deaf Smith County,2020,0,0,109,79,212,44,455,18384,109,335
Delta County,2015,0,0,4,17,15,1,37,5249,4,33
Delta County,2016,0,0,0,18,9,1,28,5198,0,28
Delta County,2017,0,0,2,13,10,1,26,5207,2,24
Delta County,2018,0,0,3,10,18,1,32,5292,3,29
Delta County,2019,0,0,1,10,16,1,28,5329,1,27
Delta County,2020,0,1,1,9,3,1,15,5324,2,13
Denton County,2015,6,198,549,1351,6780,612,9651,599184,753,8743
Denton County,2016,7,232,530,1527,6863,655,9966,615486,769,9045
Denton County,2017,10,304,581,1312,6624,760,9794,638302,895,8696
Denton County,2018,12,353,620,1193,6973,663,10018,660419,985,8829
Denton County,2019,10,402,488,1114,6740,734,9673,675245,900,8588
Denton County,2020,14,385,616,1030,6513,926,9660,698492,1015,8469
Dickens County,2015,0,0,3,10,5,1,19,2168,3,16
Dickens County,2016,0,0,11,12,8,5,37,2155,11,25
Dickens County,2017,0,0,7,8,1,0,16,2142,7,9
Dickens County,2018,0,1,0,3,0,2,6,2171,1,5
Dickens County,2019,0,0,1,5,1,2,9,2212,1,8
Dickens County,2020,0,0,0,4,0,1,5,2179,0,5
Dimmit County,2015,0,0,9,55,204,14,283,11396,9,273
Dimmit County,2016,0,1,2,39,135,8,185,11148,3,182
